"VESSEL_ID","VESSEL_NAME","VESSEL_TYPE_ID","IMO_NUMBER","DWT_SUMMER","DRAFT_SUMMER","LOA","BEAM","AIR_DRAFT","BUILT_YEAR","FLAG_ID","REGISTERED_PORT_ID","ICE_CLASS_ID","SCRUBBER_FITTED_ME"
1033479,"Northern Pioneer",1033476,"9954228",8800,0,130,21,38.5,2024,410154,,,0
1033547,"Northern Pathfinder",1033476,"9954230",8800,0,130,21,38.5,2024,410154,,,0
1894926,"Test Vessel",1033476,"",8800,0,130,21,38.5,2024,410154,,,0
