VESSEL_TYPE_ID,HAS_CANAL_PASSAGE,VESSEL_TYPE_ID_missing_ratio,HAS_CANAL_PASSAGE_missing_ratio,MONTH_NO_missing_ratio,BALLAST_FRAC_missing_ratio,DWT_SUMMER_missing_ratio,n_obs
1038665,0,0.0,0.0,0.0,0.0,0.000980392156862745,1020
1039859,0,0.0,0.0,0.0,0.0,0.0,219
