"VOYAGE_ID","CARGO_ID","COMMODITY_ID","BASELINE_TERM_ID","BASELINE_TERM_2_ID","LAYCAN_FROM","LAYCAN_TO","CARGO_QUANTITY","QUANTITY_OPTION_PCT","BOOKED_QUANTITY"
1453126,1453129,1130536,,,,,40000,0,40000
1453126,1453134,1038646,,,11-JAN-25,15-JAN-25,40000,0,40000
1453369,1453370,1130557,,,01-APR-25,07-APR-25,40000,0,40000
1453393,1453400,1130557,,,,,49950,0,49950
1453437,1453442,1130536,,,,,49700.44,0,49700.44
1453437,1453451,1130546,,,,,20000,0,20000
1453616,1453625,1130677,,,,,130000,0,130000
1453616,1453630,1130677,,,,,130000,0,130000
1472449,1472460,1130536,,,21-APR-25,25-APR-25,40000,0,40000
1472965,1472974,1130566,,,,,0,0,0
1492670,1492679,1130557,,,,,50000,0,50000
1547545,1547552,1129818,,,01-MAY-25,02-MAY-25,36940.47,0,36940.47
1564026,1564037,1038646,,,01-MAY-25,02-MAY-25,37000,0,37000
1569121,1569129,1130594,,,,,1000,0,1000
1570009,1570018,1130594,,,,,1000,0,1000
1571209,1571218,1130594,,,08-MAY-25,10-MAY-25,135000,0,1000
1571798,1571807,1130594,,,,,1000,0,1000
1593952,1593959,1038646,,,,,40000,0,40000
1595146,1595153,1130536,,,04-JUN-25,10-JUN-25,42000,0,42000
1597092,1597099,1130677,,,,,0,0,0
1597601,1597611,1038646,,,30-APR-25,01-MAY-25,35000,0,35000
1598027,1598040,,,,,,130000,0,130000
1598027,1599329,,,,,,0,0,0
1598447,1598460,1038646,,,,,40000,0,40000
1641798,1641805,1130698,,,06-JUN-25,08-JUN-25,140000,0,140000
1642754,1642761,1130677,,,13-JUN-25,,130000,0,130000
1646701,1646708,1130677,,,20-JUN-25,,132000,0,130000
1652137,1652144,1130677,,,18-JUN-25,20-JUN-25,130000,0,130000
1655473,1655480,,,,19-JUN-25,,130000,0,130000
1697446,1697453,1038646,,,,,35000,0,35000
1702035,1702046,1130677,,,06-APR-25,06-JUN-25,135000,0,135000
1726713,1726723,1130677,,,20-JUN-25,,130000,0,130000
1739850,1739857,1130686,,,09-JUL-25,10-JUL-25,130000,0,130000
1742611,1742618,1130677,,,,,145000,0,145000
1749267,1749274,1130686,,,27-JUN-25,28-JUN-25,130000,0,130000
1749898,1749906,1130686,,,27-JUN-25,28-JUN-25,130000,0,130000
1751761,1751768,1130677,,,17-JUL-25,18-JUL-25,130000,0,130000
1752451,1752464,1130677,,,17-JUL-25,18-JUL-25,130000,0,130000
1753648,1753658,1130698,,,06-JUN-25,08-JUN-25,140000,0,140000
1754695,1754703,1130677,,,18-JUN-25,20-JUN-25,130000,0,130000
1756644,1756660,1130677,,,,,145000,0,145000
1760058,1760067,1038646,,,30-APR-25,01-MAY-25,35000,0,35000
1785171,1785172,1130698,,,,,130000,0,40000
1785171,1785181,1038646,,,,,130000,0,40000
1785240,1785250,1130677,,,17-JUL-25,18-JUL-25,130000,0,130000
1785273,1785276,1130677,,,18-JUN-25,20-JUN-25,130000,0,130000
1785339,1785348,1130677,,,,,130000,0,130000
1785339,1785353,1130677,,,,,130000,0,130000
1785457,1785460,1130686,,,27-JUN-25,28-JUN-25,130000,0,130000
1796744,1796751,1130677,,,14-JUL-25,15-JUL-25,130000,0,130000
1809610,1809618,1130677,1038627,,06-APR-25,06-JUN-25,135000,0,135000
1809689,1809694,1130698,,,06-JUN-25,08-JUN-25,140000,0,140000
