"VOYAGE_ID","VESSEL_ID","VOYAGE_START_TS","MILES_BALLAST","MILES_LOADED","MILES_TOTAL","SPEED_BALLAST","SPEED_LOADED","DAYS_AT_SEA","DAYS_IN_PORT_TOTAL","DAYS_TOTAL","DAYS_OFFHIRE","HAS_CANAL_PASSAGE","CANAL_COST","CANAL_1_ID","CANAL_2_ID","VOYAGE_STATUS","VESSEL_TYPE_ID"
2876101,1042784,01-NOV-22,6153.83579984429,315.12733283649607,6468.96313268078607,13,13,22.770246900037353,0,23.270246900037353,0,0,0,,,"P",1038665
2063270,1042784,01-NOV-22,4402.661845275763,4363.345454704852,8766.007299980615,13,13,29.500986105703994,0,35.500986105703994,0,0,0,,,"T",1038665
2123250,1042784,01-NOV-22,0,4112.236711352698,4112.236711352698,13,13,13.839258163206194,0,17.839258163206196,0,0,0,,,"T",1038665
2121522,1042784,01-NOV-22,1848.7537356483106,5865.853700038844,7714.6074356871546,13,13,43.59766805917352,0,53.87147758298304,0,0,0,,,"T",1038665
2087156,1042784,01-NOV-22,469.10872802302276,11396.297312884337,11865.40604090735976,13,13,40.926458117558084,0,49.426458117558084,0,0,0,,,"T",1038665
2145048,1042784,01-NOV-22,6153.83579984429,315.12733283649607,6468.96313268078607,13,13,22.770246900037353,0,23.270246900037353,0,0,0,,,"A",1038665
2753390,1042784,01-NOV-22,1260.5723238013622,4363.345454704852,5623.9177785062142,13,13,18.926646369972836,0,23.426646369972836,0,0,0,,,"T",1038665
2217471,1042784,01-NOV-22,1848.7537356483106,6077.181986984358,7925.9357226326686,13,13,44.34273573750707,0,933.3865452613165,0,0,0,,,"T",1038665
1697446,1042784,01-NOV-22,3180.4343838267014,3180.434383826702,6360.8687676534034,13,13,20.387399896325007,0,20.887399896325007,0,0,0,,,"T",1038665
2876775,1042784,24-NOV-22,545.951226283527,10913.112724654076,11459.063950937603,13,13,38.56415752719386,0,48.06415752719386,0,0,235000,,,"P",1038665
2879334,1042784,24-NOV-22,545.951226283527,10913.112724654076,11459.063950937603,13,13,38.56415752719386,0,48.06415752719386,0,0,235000,,,"P",1038665
2734566,1042784,24-NOV-22,545.951226283527,10913.112724654076,11459.063950937603,13,13,38.56415752719386,0,48.06415752719386,0,0,235000,,,"P",1038665
2733212,1042784,24-NOV-22,545.951226283527,10913.112724654076,11459.063950937603,13,13,38.56415752719386,0,48.06415752719386,0,0,235000,,,"A",1038665
2375353,1042784,24-NOV-22,4112.236711352701,3421.150584554204,7533.387295906905,13,13,25.352745707379007,0,25.852745707379007,0,0,0,,,"T",1038665
2218286,1042784,24-NOV-22,1848.7537356483106,5865.853700038844,7714.6074356871546,13,13,25.962621177793306,0,26.712621177793306,0,0,0,,,"T",1038665
2874769,1042784,24-NOV-22,545.951226283527,10913.112724654076,11459.063950937603,13,13,38.56415752719386,0,48.06415752719386,0,0,235000,,,"P",1038665
