PORT_CALL_ID,VOYAGE_ID,PORT_ID,TERMINAL_ID,IS_BALLAST,VESSEL_ID,VESSEL_TYPE_ID,MONTH_NO,HAS_CANAL_PASSAGE,DWT_SUMMER,DRAFT_SUMMER,LOA,BEAM,DAYS_IN_PORT,COMMODITY_ID,COMMODITY_GROUP_ID,COMMODITY_CODE,DAYS_STOPPAGES,DAYS_EXTRA_IN_PORT
1035773,1035768,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1039547,1039544,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.9583333333333334,1033424.0,,1.0,0,0.25
1062282,1062279,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1062478,1062473,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1062772,1062769,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1063171,1063166,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1063669,1063664,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1064268,1064263,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1064969,1064964,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1065548,1065543,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1065742,1065737,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1066037,1066034,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1066435,1066432,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1066934,1066931,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1067533,1067530,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1068042,1068039,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1068241,1068236,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1068540,1068535,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1068938,1068935,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1069312,1069309,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1069509,1069506,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1069811,1069806,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1070212,1070207,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1276807,1276802,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.9583333333333334,1033424.0,,1.0,0,0.25
1408763,1408761,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1417883,1417879,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1423472,1423468,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1436522,1436520,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1740672,1740671,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
4206918,4206915,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.9583333333333334,1033424.0,,1.0,0,0.25
