"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","LAYCAN_START_UTC","LAYCAN_END_UTC"
1044146,1043436,"T",27-JAN-25,0,0,,4419.994125705499,4419.994125705502,29.749960461479326,0,14.874980230739657,14.874980230739668,0,101122,,,,27-JAN-25,27-JAN-25
1046167,1038877,"A",27-JAN-25,0,0,,707.0550400205506,4646.209627091309,18.73642633489151,0,2.474692640071927,16.261733694819583,5.004,103029,,,,04-FEB-25,05-FEB-25
1049012,1040617,"T",28-JAN-25,0,0,,4274,4274,30.137827115488072,0,15.068913557744036,15.068913557744038,0,103527,,,,28-JAN-25,28-JAN-25
1049467,1041307,"A",28-JAN-25,0,0,,4894.290339484522,6845.316106911035,39.508290925369664,0,16.471169411726756,23.037121513642905,0,103249,,,,28-JAN-25,28-JAN-25
1050535,1041237,"A",24-JUN-23,0,0,,4894.290339484522,6845.316106911035,41.088622562384444,0,17.130016188195825,23.958606374188623,0,103249,,,,24-JUN-23,24-JUN-23
1051260,1043436,"T",27-JAN-25,0,0,,4419.994125705499,4419.994125705502,29.749960461479326,0,14.874980230739657,14.874980230739668,0,101122,,,,27-JAN-25,27-JAN-25
1051407,1042784,"A",20-AUG-22,0,0,,1660.9284929806392,9065.45709317572,33.35833333333333,0,4.570833333333334,28.787499999999994,0,103154,,,,07-MAR-25,09-MAR-25
1051812,1042724,"T",22-OCT-22,0,0,,1661,8871,35.44291605964153,0,5.5896631975309985,29.853252862110534,0,103154,,,,22-OCT-22,22-OCT-22
1052097,1039921,"T",28-JAN-25,0,0,,707.0550400205506,4646.209627091309,18.73642633489151,0,2.474692640071927,16.261733694819583,0,103029,,,,05-FEB-25,06-FEB-25
1053497,1040617,"A",30-JAN-22,0,0,,634.3035518153733,1145.3949566168642,5.583333333333334,0,2.254166666666667,3.3291666666666666,0,100343,,,,30-JAN-22,30-JAN-22
1054395,1040617,"P",30-JAN-22,0,0,,634,1145,5.9893699803008,0,2.134675414763276,3.8546945655375238,0,100343,,,,30-JAN-22,30-JAN-22
1054664,1043280,"A",29-JAN-25,0,0,,0,18809.688486725514,1080.0000000000002,0,0,1080.0000000000002,0,104233,,,,29-JAN-25,29-JAN-25
1055843,1043280,"P",29-JAN-25,0,0,,0,10031,1080,0,0,1080,0,104233,,,,29-JAN-25,29-JAN-25
1056464,1041307,"P",28-JAN-25,0,0,,4894,6845,39.508290925369664,0,16.471169411726756,23.037121513642905,0,103249,,,,28-JAN-25,28-JAN-25
1059231,1042784,"T",30-AUG-22,0,0,,1661,8552,34.369955988566694,0,5.5896631975309985,28.7802927910357,0,103154,,,,30-AUG-22,30-AUG-22
1061191,1042784,"P",20-AUG-22,0,0,,1661,8977,36.26550805942929,0,6.055468463991914,30.210039595437376,0,103154,,,,20-AUG-22,20-AUG-22
1061928,1040826,"A",09-DEC-23,0,0,,629.2295685757045,1145.3949566168642,514.9583377270978,0,2.1458333333333335,512.8125043937645,0,100343,,,,09-DEC-23,09-DEC-23
1062743,1040826,"P",09-DEC-23,0,0,,629,1145,5.972294075167298,0,2.117599509629775,3.8546945655375233,0,100343,,,,09-DEC-23,09-DEC-23
1063007,1042150,"A",29-JAN-25,0,0,,0,15177.977520156554,1079.9999999999998,0,0,1079.9999999999998,0,104233,,,,29-JAN-25,29-JAN-25
1063892,1042150,"P",29-JAN-25,0,0,,0,10031,1080,0,0,1080,0,104233,,,,29-JAN-25,29-JAN-25
