"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
2612485,1041021,"A",14-SEP-25,0,,0,,0,13663.336310961644,86.21666666666665,0,0,86.21666666666665,0,101059,101962,,,,,,1963559.3749999998,1967849.9549999998,1894216.4784374998,0,0,0,0,0,0,44223.479999999996,4290.580000000002,0,0
2616787,1042956,"A",31-AUG-25,0,,0,,5852.605999830513,1499.1900195524208,33.172222222222224,0,21.38888888888889,11.783333333333333,0,104010,104010,,,,,,263946.6666666667,763946.6666666667,760647.3333333334,0,0,0,0,0,0,49104.76,500000,0,0
2636822,1041077,"A",24-JUL-25,0,,0,,7347.187427535847,1966.7122066060838,33.9125,42.3375,27.0375,6.875,0,100084,100139,,,,23-SEP-25,24-SEP-25,700000,805986.6533333333,776105.4033333333,0,98692.35,0,0,0,0,49109.729999999996,9153.32,0,0
2640463,2452962,"A",02-OCT-25,0,,0,,635.0376459380719,12849.034141012778,46.02083333333333,23.9375,2.3541666666666665,43.666666666666664,0,102755,100606,,,,24-SEP-25,25-SEP-25,3750000,5083843.02,4899316.77,0,287900,0,0,0,0,61954.43,185343.02,0,0
2643680,1043108,"A",02-OCT-25,0,,0,,8185.748698580831,7368.25742474262,71.25416666666666,30.599999999999994,28.1875,43.06666666666666,0,104935,104280,,,,27-AUG-25,28-OCT-25,3602234.9999999995,6520096.263333332,6293476.513333332,0,114945.11999999998,0,0,0,0,18870.67,476902.93,0,0
2648862,1041990,"A",02-OCT-25,0,,0,,1639.872927779954,1639.872927779954,12.270833333333332,10.208333333333332,5.4375,6.833333333333333,0,101713,101082,,,,26-SEP-25,27-SEP-25,1435141.68,1777159.041111111,1710515.5770694443,0,69774.96,0,0,0,0,0,0,0,0
2673434,1041384,"A",03-OCT-25,0,,0,,3943.090351167307,1065.1723224877726,23.166666666666664,6.416666666666668,13.875,9.291666666666666,0,111073,101122,,,,22-SEP-25,23-SEP-25,1764100,1906935.5,1836175.41875,0,181120.73,0,0,0,0,192359.54817750002,142835.5,0,0
2682898,1043022,"A",03-OCT-25,0,,0,,3121.2395790792343,52.80304201394679,39.854166666666664,9.416666666666664,10.833333333333334,29.020833333333332,0,110968,100817,,,,30-SEP-25,30-SEP-25,4791149.999999999,5096872.31111111,4912559.394444443,0,49075.630000000005,0,0,0,0,67724.222424,181861.2,0,0
2684880,1041620,"A",03-OCT-25,0,,0,,3249.792333455927,187,30.704166666666666,9.308333333333337,14,16.704166666666666,0,104072,101122,,,,27-SEP-25,28-SEP-25,2562421.379625,2990164.587402778,2878205.865875174,0,169137.91999999998,0,0,0,0,243296.77,127434.18,0,0
2692498,2453020,"A",03-OCT-25,0,,0,,1303.5744958636224,2655.7598384569505,21.520833333333332,4.908333333333335,12.229166666666666,9.291666666666666,0,101376,103571,,,,24-SEP-25,25-SEP-25,2204020.0000000005,2211016.5277777785,2128103.407986112,0,112776.48,0,0,0,0,0,0,0,0
2693105,1651778,"A",03-OCT-25,0,,0,,253.5563136716565,10241.578726757409,42.49166666666666,9.491666666666667,0.7041666666666667,41.787499999999994,0,103707,102035,,,,27-AUG-25,27-AUG-25,4475000,4586909.04,4419096.54,0,362419.18,0,0,0,0,2000,111909.04000000001,0,0
2699838,1041918,"A",03-OCT-25,0,,0,,268.1917717837819,6177.489824483147,37.34166666666667,41.44999999999999,15.791666666666666,21.550000000000004,0,108267,108424,,,,04-OCT-25,05-OCT-25,2927502.4999999986,5684420.937533332,5488322.348275832,0,177676.24,0,0,0,0,65990.5,1981397.6042000004,0,0
2806680,2453020,"A",07-OCT-25,0,,0,,2655.7598384569505,33,18.145833333333336,9.229166666666668,9.125,9.020833333333334,0,101376,103571,,,,15-OCT-25,16-OCT-25,2176933.53878,2634392.72878,2539489.75232575,0,109166.73,0,0,0,0,106030.69,103646.69,0,0
2807132,1039921,"A",06-OCT-25,0,,0,,1421.972658859163,4769.566529550954,43.32083333333333,21.949999999999996,25.029166666666665,18.291666666666668,0,102601,100109,,,,01-NOV-25,01-NOV-25,2773243.2585000005,3404880.474833334,3297209.243264584,0,248202.77999999997,0,0,0,0,502748.88847,533647.633,0,0
2811690,1668130,"A",04-SEP-25,0,,0,,2206.6664678953744,70,14.5625,12.979166666666668,7.604166666666667,6.958333333333333,0,103029,100749,,,,04-OCT-25,05-OCT-25,1000000,1281166.6666666665,1233122.9166666665,0,100754.67,0,0,0,0,11875,0,0,0
2867287,1041077,"A",08-OCT-25,0,,0,,636.4970919346595,3826.3459005458194,19.483333333333334,18.50416666666667,5.495833333333334,13.9875,0,103347,103287,,,,16-OCT-25,25-OCT-25,1320793.6361,1438564.4694333333,1384618.3018295832,0,96707.13,0,0,0,0,52820,0,0,0
2868980,1042150,"A",05-OCT-25,0,,0,,137,13137.636290682809,46.625,23.991666666666674,1.55,45.075,0,100830,101962,,,,11-OCT-25,15-OCT-25,2675000,2769620.412222222,2632846.801111111,0,147876.23,0,0,0,0,54629.19,34148.19,0,0
2877845,1042668,"A",03-OCT-25,0,,0,,71.63556673707758,947.3392083475982,17.016666666666666,16.008333333333333,2.8875,14.129166666666666,0,104526,100749,,,,06-OCT-25,08-OCT-25,835737.5,1329628.02,1298451.24925,0,133343.11,0,0,0,0,80595.59,136690.52000000002,0,0
2898467,1041848,"A",07-OCT-25,0,,0,,38.93385042766308,16209.14788689516,77.97083333333335,0,8.029861111111112,69.94097222222223,0,100606,103875,,,,,,4116026.215277778,4116026.215277778,4064575.887586806,0,0,0,0,0,0,0,-0.00000000011641532182693481,0,0
3001385,1041384,"A",07-OCT-25,0,,0,,104,5620.415003671692,38.70833333333333,5.375,18.5,20.208333333333332,0,103707,103226,,,,26-OCT-25,27-OCT-25,3170910.75,3259131.35201,3140222.198885,0,295681.15,0,0,0,0,238178.3137792,88220.60201,0,0
3093856,1042784,"A",19-OCT-25,0,,0,,3581.848457114685,14916.267150328731,89.15624999999999,23.55624999999999,11.1875,77.96874999999999,0,101176,104559,,,,,,2105156.2499999995,2105156.2499999995,2026212.8906249995,0,8419.75,0,0,0,0,18317.935,0,0,0
3094623,1041990,"A",11-OCT-25,0,,0,,1825.4538893080803,8117.622120293863,37.72083333333333,8.779166666666669,7.033333333333333,30.6875,0,103954,104363,,,,24-OCT-25,24-OCT-25,4434300,4615753.29,4448707.665,0,211397.84999999998,0,0,0,0,24894.74,161203.29,0,0
3182326,1651778,"A",14-OCT-25,0,,0,,1064.8928152924457,13402.61956325255,55.204166666666666,24.729166666666657,10.995833333333334,44.208333333333336,0,102755,100466,,,,31-OCT-25,31-OCT-25,3700000,5132170.6331222225,4953876.3779138895,0,258408.97999999998,0,0,0,0,85964.63,1326792.1609,0,0
3196402,1042724,"A",04-JUL-25,0,,0,,566.7055256671396,21241.019841997655,43.1,17.875,2.55,40.550000000000004,0,101677,101122,,,,16-NOV-25,20-NOV-25,2885000,2900000,2827500,0,136280.06000000003,0,0,0,0,207863.89500000002,15000,0,0
3261149,2382635,"A",07-OCT-25,0,,0,,163.9616640729638,10137.498071664495,63.72916666666667,0,6.0625,57.66666666666667,0,101040,103527,,,,,,1211000,1211000,1165587.5,0,0,0,0,0,0,26631.74,0,0,0
3294862,1656475,"A",04-SEP-25,0,,585335.9,,1197.700010263161,2191.9754099972324,11.216666666666667,20.662499999999998,4.533333333333333,6.683333333333334,0,100065,103309,,,,24-OCT-25,25-OCT-25,1425000,1924385.5148888892,1858731.3688055559,0,47219.89,0,585335.9,0,0,201495.31,470471.62600000005,0,0
3395341,1042900,"A",30-SEP-25,0,,0,,3455.1727614793404,418,18.25,10.833333333333336,11.541666666666666,6.708333333333333,0,101545,100751,,,,15-OCT-25,16-OCT-25,848500,1119401.04,1080372.7275,0,169404.69,0,0,0,0,0,168526.03999999998,0,0
3442311,1043488,"A",06-JUL-25,0,,0,,1514.3577397574106,2433.409661306785,15.245833333333334,12.541666666666664,5.245833333333334,10,0,103707,100195,,,,11-OCT-25,15-OCT-25,1391851.7164999999,1546594.5984444444,1527262.1659638889,0,156553.9,0,0,0,0,-343757.56,0,0,0
3525231,1041125,"A",12-OCT-25,0,,0,,5150.815128481497,11906.41048202601,63.02670549977704,34.115451388888886,19.354166666666668,43.67253883311037,0,103037,101055,,,,30-OCT-25,01-NOV-25,2700000,3442500,3313406.25,0,232827.86000000002,0,0,0,0,30302,0,0,0
3534788,2396561,"A",24-OCT-25,0,,0,,1380.242987468405,5963.700596962763,26.4375,11.62083333333333,5.8125,20.625,0,100682,102955,,,,20-OCT-25,30-OCT-25,1408000,1775878.4722222222,1709489.279513889,0,210682.03999999998,0,0,0,0,71039.45,315500,0,0
3641675,1041620,"A",22-OCT-25,0,,0,,4850.526306265355,4434.5132894965955,33.8625,20.64583333333333,17.770833333333332,16.09166666666667,0,102126,103436,,,,10-NOV-25,10-NOV-25,3298587.5000000005,4482860.609063201,4320156.8341882005,0,229268.91999999998,0,0,0,0,223054.13762988744,159304.35906319987,0,0
3650194,1668130,"A",21-OCT-25,0,,0,,203,1672.4669466568587,12.416666666666666,16.8125,6.583333333333333,5.833333333333333,0,103707,101435,,,,20-OCT-25,28-OCT-25,725000,1212465.57,1167596.82,0,176330.08,0,0,0,0,40787.39,15965.57,0,0
3661401,1043108,"A",05-NOV-25,0,,0,,8820.645871412464,4354.009836848767,427.354867762304,4.291666666666686,28.645833333333332,398.7090344289707,0,104280,101122,,,,,,14898806.922076501,15081905.1220765,14708273.849024588,0,3403.5600000000004,0,0,0,0,831.15,183098.2,0,0
3771538,1042724,"A",04-JUL-25,0,,0,,225.9678282282487,554.2037124373203,8.383333333333333,10.229166666666668,4.841666666666667,3.5416666666666665,0,108380,102877,,,,02-NOV-25,05-NOV-25,340000,459274.6933333333,442122.3495833333,0,56342.96,0,0,0,0,19220.73,1878.86,0,0
3773684,1041542,"A",29-OCT-25,0,,0,,3174.7175759838105,8519.810762229297,42.525,10.891666666666666,10.7125,31.8125,0,103514,104363,,,,14-NOV-25,14-NOV-25,5284078.8,5738086.05,5523701.454375,0,101030,0,0,0,0,70084.5441,21163.5,0,0
