"VOYAGE_ID","N_CARGO_ROWS","N_UNIQUE_CARGO","TOTAL_CARGO_QUANTITY"
2881094,1,1,109000
2881165,1,1,10000
2881211,1,1,12000
2881245,1,1,10000
2881346,1,1,145000
2881382,1,1,140000
2881429,1,1,130000
2881490,2,2,260000
2881791,1,1,1450000
2881827,1,1,1000
2881868,1,1,135000
2881899,1,1,130000
2881952,1,1,130000
2881981,1,1,145000
2882116,2,2,260000
2882316,1,1,130000
2882373,1,1,130000
2882465,1,1,132000
2947033,1,1,130000
2948108,1,1,38000
2948794,1,1,500000
2954235,1,1,40000
2954314,1,1,38000
2954357,1,1,38000
2954402,1,1,40000
2954457,1,1,40000
2954498,2,2,50000
2954575,1,1,36002.312
2954632,1,1,40000
2954696,1,1,37000
2954724,1,1,36940.47
2954761,1,1,40000
2954811,1,1,1000
2954857,2,2,80000
2954956,1,1,38000
2955081,5,5,43920
2955336,1,1,42000
2955394,2,2,69700.44
2955483,1,1,35000
2955511,1,1,38000
2955556,2,2,80000
2955617,1,1,42000
2955670,1,1,35000
2955768,1,1,49950
2955859,1,1,37000
2955953,1,1,109000
2956014,1,1,12000
2956040,1,1,10000
2956138,1,1,500000
