fleet_plan_key,vessel_key,voyage_key,sequence,start,end,duration_days,laycan_start,laycan_end
1013798,1041768,1742611,3,2025-06-23 00:00:00,2025-07-29 23:36:45,36.983849205044386,2025-06-23,2025-06-23
1013798,1041848,1751761,1,2025-07-17 00:00:00,2025-08-22 16:05:09,36.670248073819494,2025-07-17,2025-07-18
1013798,1042074,1117971,1,2025-02-27 00:00:00,2025-04-30 08:03:42,62.33590104279238,2025-02-27,2025-02-27
1013798,1042150,2808847,1,2025-09-29 00:00:00,2025-11-07 17:44:10,39.73900126090308,2025-09-29,2025-09-30
1013798,1042150,2033455,2,2026-03-22 00:00:00,2026-05-15 16:12:27,54.6753099210514,2026-03-22,2026-03-22
1013798,1042784,1840822,1,2025-07-14 00:00:00,2025-08-10 13:29:40,27.562272357683298,2025-07-14,2025-07-15
1013798,1042784,2733212,2,2025-08-10 13:29:43,2025-09-20 08:25:02,40.78841649631112,2025-07-17,2025-09-26
1013798,1043022,1749267,1,2025-06-27 00:00:00,2025-07-19 01:51:41,22.077561624702376,2025-06-27,2025-06-28
1013798,1043022,1876884,2,2025-07-26 00:00:00,2025-08-02 13:05:39,7.545586892667114,2025-07-26,2025-07-27
1013798,1043022,1905214,3,2025-08-02 13:05:40,2025-08-10 07:31:26,7.7678978551809825,2025-08-01,2025-08-03
1013798,1043022,2064136,4,2025-09-10 00:00:00,2025-11-03 02:22:30,54.098958941982055,2025-09-10,2025-09-12
1013798,1043108,1441884,1,2025-05-03 00:00:00,2025-06-04 07:47:35,32.324705991216874,2025-05-03,2025-05-03
1013798,1043108,1641798,2,2025-06-06 00:00:00,2025-07-28 20:03:19,52.8356381249102,2025-06-06,2025-06-08
1013798,1043108,1646701,3,2025-07-28 20:03:16,2025-10-10 21:40:49,74.06773975558656,2025-06-20,
1013798,1043488,1927075,1,2025-07-31 00:00:00,2025-09-05 21:57:07,36.91465888955311,2025-07-31,2025-08-03
1013798,1043488,2805526,2,2025-09-06 00:00:00,2025-09-08 23:05:51,2.9623989678002527,2025-09-06,2025-09-06
1013798,1043488,2730005,3,2025-09-25 00:00:00,2025-10-23 08:48:17,28.366857909473072,2025-09-25,2025-09-26
1013798,1650272,2012008,1,2025-08-29 00:00:00,2025-09-10 10:13:08,12.425782906676368,2025-08-29,2025-08-30
1013798,1650272,2662321,2,2025-09-24 00:00:00,2025-10-08 07:52:27,14.328089677837736,2025-09-24,2025-09-26
1013798,1650272,1219985,3,2025-10-13 00:00:00,2025-11-14 19:56:31,32.83090969052708,2025-10-13,2025-10-19
1013798,1651778,1652137,1,2025-06-18 00:00:00,2025-07-19 16:01:51,31.66795052139619,2025-06-18,2025-06-20
1013798,1669802,2152943,1,2025-06-26 00:00:00,2025-07-08 21:05:45,12.878995085257655,2025-06-26,2025-06-26
1013798,1669802,3113897,2,2025-07-12 00:00:00,2025-07-30 19:02:33,18.79343993499121,2025-07-12,2025-07-12
1013798,1669802,1924458,3,2025-07-31 00:00:00,2025-08-11 20:05:28,11.837133851832656,2025-07-31,2025-08-03
1013798,1669802,2639324,4,2025-08-23 00:00:00,2025-10-21 18:41:32,59.7788439682007,2025-08-23,2025-08-24
