fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1041237,1070479,1
1013798,1041237,2025146,2
1013798,1041237,2145048,3
1013798,1041237,2757881,4
1013798,1041237,1050535,5
1013798,1041237,1282433,6
1013798,1041237,2774202,7
1013798,1041237,1066854,8
1013798,1041237,1049467,9
1013798,1041237,1063007,10
1013798,1041237,1046167,11
1013798,1041237,1117971,12
1013798,1041237,1051407,13
1013798,1041237,1396573,14
1013798,1041237,1854438,15
1013798,1041237,1381027,16
1013798,1041237,1441884,17
1013798,1041237,2732472,18
1013798,1041237,1646701,19
1013798,1041237,1742611,20
1013798,1041237,3066189,21
1013798,1041237,2152943,22
1013798,1041237,2153539,23
1013798,1041237,1946180,24
1013798,1041237,1876884,25
1013798,1041237,2095525,26
1013798,1041237,1924458,27
1013798,1041237,1927075,28
1013798,1041237,1922508,29
1013798,1041237,2012008,30
1013798,1041237,2805526,31
1013798,1041237,2662321,32
1013798,1041237,2730005,33
1013798,1041237,1219985,34
1013798,1041237,2033455,35
