PORT_ID,TERMINAL_ID,IS_BALLAST,VESSEL_TYPE_ID,MONTH_NO,median_days_in_port,n_obs,specificity_score,level
104084.0,,1.0,1033476.0,,1.0,33,11,1
110965.0,,0.0,1033476.0,,1.2083333333333333,30,11,1
104084.0,,1.0,,,1.0,33,10,3
110965.0,,0.0,,,1.2083333333333333,30,10,3
104084.0,,,,,1.0,33,8,5
110965.0,,,,,1.2083333333333333,30,8,5
,,,,,1.2083333333333333,80,0,6
